,essay_id,grade,prompt,essay,excerpt,feedback,tid,isRepresentative,comment_id
1,,,,,use computers all the time to notife other doctors t,This has definitely made communication easier. What did people used to have to do before the age of technology in some workfields?,,,1712766073703
2,,,,,cheatcodes,Is this an example of a positive or negative affect? Explain how so!,,,1712766124713
3,,,,,Or I would give them different house to choose from and give them a good deal on it,Great examples of using technology in this job field!,,,1712767098281
4,,,,,has thing to do,What are the things people should do on the computers so that it benefits people? Summarize these details from your response!,,,1712767192129
5,,,,,Newspaper,Is there a specific person that you are writing to? Like the editors or an author at the newspaper?,,,1713801213287
6,,,,,spicific ,spelling*,,,1713801237581
7,,,,,spicific ,spelling,,,1713801247247
8,,,,,them,how would you see them? This is where you can detail how computers allow for phonecalls or video chatting.,,,1713801258598
9,,,,,Actually its not because most of your family is on it. ,"I would say something like - ""Actually it's not all a bad place because there are people you know on Myspace and Facebook like your family members.""",,,1713801299940
10,,,,,notife ,spelling*,,,1713801366848
11,,,,,m,something is wrong*,,,1713801418337
12,,,,,bereathing,breathing*,,,1713801436048
14,,,,,was type in his name & pages full of information popped.,Technology really allows us to find anything in seconds! What about using computers in a way to research effectively? How would we do this? ,,,1713277941979
15,,,,,on & so much more,There are often fake news out in the world. What would you address about this counterargument?,,,1713278098089
16,,,,,pros & cons,"It is great to talk about ""pros and cons."" Create counterarguments for the cons to develop your argument!",,,1713278154136
17,,,,,"People can talk to old friends, family anybody really.",Why is building and maintaining connection with people important?,,,1713278201111
19,,,,,esearch a topic ,What are the flaws of all the research and information readily found online? Describe this counteargument.,,,1713278575725
20,,,,,y getting the info that I needed,What are the best practices for students when researching? Describe these skills to strengthen your argument.,,,1713278659033
21,,,,, could talk to her all the time. ,What are the benefits of maintaining and developing our relationships?,,,1713278701583
22,,,,,then enjoying life,"I agree this benefits society. How does getting ""what you need"" help people enjoy their lives? Explain further!",,,1713278773570
24,,,,, According to culture digest.com ,Great job referencing a source!,,,1714241570394
25,,,,,Computers have a wide viarety of entertainment. They can play music. @PERCENT2 of teens get there music from the computer over a cd. ,You give a great piece of evidence here but explain how teens getting this music is beneficial! ,,,1714241590577
26,,,,,Please take this letter into consideration. Thank you for time.,I would add a summary sentence as part of your conclusion,,,1714241697578
28,,,,,Have you ever had any diffuclty finding something in a libery? Well forget your libery cards just go on the computer's @CAPS2,This seems like the start of your first body paragraph. I would make this into the first part of the next paragraph to make it clear you're starting a new thought.,,,1712807706625
29,,,,,"One time I was doing a project on my favorite rocker @ORGANIZATION1, so my mom told me to check the libery for a book on him but I couldn't find one. So instead I just jumped on my computer but not really jump on @CAPS4 but any way so I went on the @CAPS2 and guess what! I found all I needed to know about him getting me that rocking at on my project.",Good use of a personal example as evidence.,,,1712807747422
30,,,,,Welcome back!,"This makes it sound like you are giving a speech. Since you are writing this for a newspaper, is there another transition you can use to show us you are starting a new thought that sounds more academic?",,,1712807777805
